year,region,residence,metric,unit,value
2014,TOTAL,TOTAL,Major Attractions and Sites | Gardens by the Bay,%,21.0
2014,TOTAL,TOTAL,Major Attractions and Sites | Sentosa,%,18.0
2014,TOTAL,TOTAL,Major Attractions and Sites | Singapore Flyer/ Flight Experience,%,9.0
2014,TOTAL,TOTAL,Major Attractions and Sites | Singapore Zoo,%,7.0
2014,TOTAL,TOTAL,Major Attractions and Sites | Night Safari,%,7.0
2014,TOTAL,TOTAL,Major Attractions and Sites | River Wonders (formerly River Safari),%,3.0
2014,TOTAL,TOTAL,Major Attractions and Sites | Bird Paradise (formerly Jurong Bird Park),%,3.0
2014,TOTAL,TOTAL,Major Attractions and Sites | National Orchid Gardens,%,4.0
2014,TOTAL,TOTAL,Free Access Attractions and Sites | Orchard Road,%,41.0
2014,TOTAL,TOTAL,Free Access Attractions and Sites | Chinatown,%,36.0
2014,TOTAL,TOTAL,Free Access Attractions and Sites | Merlion Park,%,20.0
2014,TOTAL,TOTAL,Free Access Attractions and Sites | Little India,%,24.0
2014,TOTAL,TOTAL,Free Access Attractions and Sites | Esplanade Theatres by the Bay,%,4.0
2014,TOTAL,TOTAL,Free Access Attractions and Sites | Singapore River/ Clarke Quay/ Boat Quay,%,14.0
2014,TOTAL,TOTAL,Free Access Attractions and Sites | Singapore Botanic Gardens,%,7.0
2014,TOTAL,TOTAL,Free Access Attractions and Sites | Raffles Hotel,%,8.0
2013,TOTAL,TOTAL,Major Attractions and Sites | Integrated Resort (MBS/RWS),%,33.0
2013,TOTAL,TOTAL,Major Attractions and Sites | Gardens by the Bay,%,12.0
2013,TOTAL,TOTAL,Major Attractions and Sites | Sentosa,%,17.0
2013,TOTAL,TOTAL,Major Attractions and Sites | Singapore Flyer/ Flight Experience,%,8.0
2013,TOTAL,TOTAL,Major Attractions and Sites | Singapore Zoo,%,7.0
2013,TOTAL,TOTAL,Major Attractions and Sites | Night Safari,%,8.0
2013,TOTAL,TOTAL,Major Attractions and Sites | Bird Paradise (formerly Jurong Bird Park),%,3.0
2013,TOTAL,TOTAL,Major Attractions and Sites | National Orchid Gardens,%,5.0
2013,TOTAL,TOTAL,Free Access Attractions and Sites | Orchard Road,%,41.0
2013,TOTAL,TOTAL,Free Access Attractions and Sites | Chinatown,%,30.0
2013,TOTAL,TOTAL,Free Access Attractions and Sites | Merlion Park,%,19.0
2013,TOTAL,TOTAL,Free Access Attractions and Sites | Little India,%,23.0
2013,TOTAL,TOTAL,Free Access Attractions and Sites | Esplanade Theatres by the Bay,%,5.0
2013,TOTAL,TOTAL,Free Access Attractions and Sites | Singapore River/ Clarke Quay/ Boat Quay,%,17.0
2013,TOTAL,TOTAL,Free Access Attractions and Sites | Singapore Botanic Gardens,%,10.0
2013,TOTAL,TOTAL,Free Access Attractions and Sites | Raffles Hotel,%,11.0
2012,TOTAL,TOTAL,Major Attractions and Sites | Integrated Resort (MBS/RWS),%,31.0
2012,TOTAL,TOTAL,Major Attractions and Sites | Gardens by the Bay,%,5.0
2012,TOTAL,TOTAL,Major Attractions and Sites | Sentosa,%,20.0
2012,TOTAL,TOTAL,Major Attractions and Sites | Singapore Flyer/ Flight Experience,%,9.0
2012,TOTAL,TOTAL,Major Attractions and Sites | Singapore Zoo,%,6.0
2012,TOTAL,TOTAL,Major Attractions and Sites | Night Safari,%,8.0
2012,TOTAL,TOTAL,Major Attractions and Sites | Bird Paradise (formerly Jurong Bird Park),%,4.0
2012,TOTAL,TOTAL,Major Attractions and Sites | National Orchid Gardens,%,5.0
2012,TOTAL,TOTAL,Free Access Attractions and Sites | Orchard Road,%,43.0
2012,TOTAL,TOTAL,Free Access Attractions and Sites | Chinatown,%,29.0
2012,TOTAL,TOTAL,Free Access Attractions and Sites | Merlion Park,%,19.0
2012,TOTAL,TOTAL,Free Access Attractions and Sites | Little India,%,22.0
2012,TOTAL,TOTAL,Free Access Attractions and Sites | Esplanade Theatres by the Bay,%,7.0
2012,TOTAL,TOTAL,Free Access Attractions and Sites | Singapore River/ Clarke Quay/ Boat Quay,%,15.0
2012,TOTAL,TOTAL,Free Access Attractions and Sites | Singapore Botanic Gardens,%,9.0
2012,TOTAL,TOTAL,Free Access Attractions and Sites | Raffles Hotel,%,9.0
2011,TOTAL,TOTAL,Major Attractions and Sites | Integrated Resort (MBS/RWS),%,24.0
2011,TOTAL,TOTAL,Major Attractions and Sites | Sentosa,%,31.0
2011,TOTAL,TOTAL,Major Attractions and Sites | Singapore Flyer/ Flight Experience,%,10.0
2011,TOTAL,TOTAL,Major Attractions and Sites | Singapore Zoo,%,6.0
2011,TOTAL,TOTAL,Major Attractions and Sites | Night Safari,%,8.0
2011,TOTAL,TOTAL,Major Attractions and Sites | Bird Paradise (formerly Jurong Bird Park),%,5.0
2011,TOTAL,TOTAL,Major Attractions and Sites | National Orchid Gardens,%,3.0
2011,TOTAL,TOTAL,Free Access Attractions and Sites | Orchard Road,%,45.0
2011,TOTAL,TOTAL,Free Access Attractions and Sites | Chinatown,%,30.0
2011,TOTAL,TOTAL,Free Access Attractions and Sites | Merlion Park,%,18.0
2011,TOTAL,TOTAL,Free Access Attractions and Sites | Little India,%,23.0
2011,TOTAL,TOTAL,Free Access Attractions and Sites | Esplanade Theatres by the Bay,%,8.0
2011,TOTAL,TOTAL,Free Access Attractions and Sites | Singapore River/ Clarke Quay/ Boat Quay,%,19.0
2011,TOTAL,TOTAL,Free Access Attractions and Sites | Singapore Botanic Gardens,%,6.0
2011,TOTAL,TOTAL,Free Access Attractions and Sites | Raffles Hotel,%,11.0
2010,TOTAL,TOTAL,Major Attractions and Sites | Integrated Resort (MBS/RWS),%,12.0
2010,TOTAL,TOTAL,Major Attractions and Sites | Sentosa,%,29.0
2010,TOTAL,TOTAL,Major Attractions and Sites | Singapore Flyer/ Flight Experience,%,10.0
2010,TOTAL,TOTAL,Major Attractions and Sites | Singapore Zoo,%,7.0
2010,TOTAL,TOTAL,Major Attractions and Sites | Night Safari,%,8.0
2010,TOTAL,TOTAL,Major Attractions and Sites | Bird Paradise (formerly Jurong Bird Park),%,6.0
2010,TOTAL,TOTAL,Major Attractions and Sites | National Orchid Gardens,%,4.0
2010,TOTAL,TOTAL,Free Access Attractions and Sites | Orchard Road,%,46.0
2010,TOTAL,TOTAL,Free Access Attractions and Sites | Chinatown,%,31.0
2010,TOTAL,TOTAL,Free Access Attractions and Sites | Merlion Park,%,18.0
2010,TOTAL,TOTAL,Free Access Attractions and Sites | Little India,%,25.0
2010,TOTAL,TOTAL,Free Access Attractions and Sites | Esplanade Theatres by the Bay,%,9.0
2010,TOTAL,TOTAL,Free Access Attractions and Sites | Singapore River/ Clarke Quay/ Boat Quay,%,19.0
2010,TOTAL,TOTAL,Free Access Attractions and Sites | Singapore Botanic Gardens,%,7.0
2010,TOTAL,TOTAL,Free Access Attractions and Sites | Raffles Hotel,%,11.0
2009,TOTAL,TOTAL,Major Attractions and Sites | Sentosa,%,26.0
2009,TOTAL,TOTAL,Major Attractions and Sites | Singapore Flyer/ Flight Experience,%,10.0
2009,TOTAL,TOTAL,Major Attractions and Sites | Singapore Zoo,%,8.0
2009,TOTAL,TOTAL,Major Attractions and Sites | Night Safari,%,10.0
2009,TOTAL,TOTAL,Major Attractions and Sites | Bird Paradise (formerly Jurong Bird Park),%,6.0
2009,TOTAL,TOTAL,Major Attractions and Sites | National Orchid Gardens,%,4.0
2009,TOTAL,TOTAL,Free Access Attractions and Sites | Orchard Road,%,49.0
2009,TOTAL,TOTAL,Free Access Attractions and Sites | Chinatown,%,29.0
2009,TOTAL,TOTAL,Free Access Attractions and Sites | Merlion Park,%,17.0
2009,TOTAL,TOTAL,Free Access Attractions and Sites | Little India,%,25.0
2009,TOTAL,TOTAL,Free Access Attractions and Sites | Esplanade Theatres by the Bay,%,9.0
2009,TOTAL,TOTAL,Free Access Attractions and Sites | Singapore River/ Clarke Quay/ Boat Quay,%,18.0
2009,TOTAL,TOTAL,Free Access Attractions and Sites | Singapore Botanic Gardens,%,8.0
2009,TOTAL,TOTAL,Free Access Attractions and Sites | Raffles Hotel,%,9.0
2025,SOUTHEAST ASIA,Indonesia,Major Attractions and Sites | Integrated Resort (MBS/RWS),%,30.0
2025,SOUTHEAST ASIA,Indonesia,Major Attractions and Sites | Gardens by the Bay,%,25.0
2025,SOUTHEAST ASIA,Indonesia,Major Attractions and Sites | Sentosa,%,10.0
2025,SOUTHEAST ASIA,Indonesia,Major Attractions and Sites | Singapore Flyer/ Flight Experience,%,3.0
2025,SOUTHEAST ASIA,Indonesia,Major Attractions and Sites | Singapore Zoo,%,2.0
2025,SOUTHEAST ASIA,Indonesia,Major Attractions and Sites | Night Safari,%,1.0
2025,SOUTHEAST ASIA,Indonesia,Major Attractions and Sites | River Wonders (formerly River Safari),%,1.0
2025,SOUTHEAST ASIA,Indonesia,Major Attractions and Sites | Bird Paradise (formerly Jurong Bird Park),%,1.0
2025,SOUTHEAST ASIA,Indonesia,Major Attractions and Sites | National Orchid Gardens,%,1.0
2025,SOUTHEAST ASIA,Indonesia,Free Access Attractions and Sites | Orchard Road,%,39.0
2025,SOUTHEAST ASIA,Indonesia,Free Access Attractions and Sites | Chinatown,%,24.0
2025,SOUTHEAST ASIA,Indonesia,Free Access Attractions and Sites | Merlion Park,%,30.0
2025,SOUTHEAST ASIA,Indonesia,Free Access Attractions and Sites | Little India,%,15.0
2025,SOUTHEAST ASIA,Indonesia,Free Access Attractions and Sites | Esplanade Theatres by the Bay,%,4.0
2025,SOUTHEAST ASIA,Indonesia,Free Access Attractions and Sites | Singapore River,%,10.0
2025,SOUTHEAST ASIA,Indonesia,Free Access Attractions and Sites | Singapore Botanic Gardens,%,4.0
2025,SOUTHEAST ASIA,Indonesia,Free Access Attractions and Sites | Raffles Hotel,%,2.0
2025,SOUTHEAST ASIA,Malaysia,Major Attractions and Sites | Integrated Resort (MBS/RWS),%,23.0
2025,SOUTHEAST ASIA,Malaysia,Major Attractions and Sites | Gardens by the Bay,%,19.0
2025,SOUTHEAST ASIA,Malaysia,Major Attractions and Sites | Sentosa,%,6.0
2025,SOUTHEAST ASIA,Malaysia,Major Attractions and Sites | Singapore Flyer/ Flight Experience,%,2.0
2025,SOUTHEAST ASIA,Malaysia,Major Attractions and Sites | Singapore Zoo,%,2.0
2025,SOUTHEAST ASIA,Malaysia,Major Attractions and Sites | Night Safari,%,1.0
2025,SOUTHEAST ASIA,Malaysia,Major Attractions and Sites | River Wonders (formerly River Safari),%,2.0
2025,SOUTHEAST ASIA,Malaysia,Major Attractions and Sites | Bird Paradise (formerly Jurong Bird Park),%,1.0
2025,SOUTHEAST ASIA,Malaysia,Major Attractions and Sites | National Orchid Gardens,%,2.0
2025,SOUTHEAST ASIA,Malaysia,Free Access Attractions and Sites | Orchard Road,%,25.0
2025,SOUTHEAST ASIA,Malaysia,Free Access Attractions and Sites | Chinatown,%,25.0
2025,SOUTHEAST ASIA,Malaysia,Free Access Attractions and Sites | Merlion Park,%,19.0
2025,SOUTHEAST ASIA,Malaysia,Free Access Attractions and Sites | Little India,%,13.0
2025,SOUTHEAST ASIA,Malaysia,Free Access Attractions and Sites | Esplanade Theatres by the Bay,%,3.0
2025,SOUTHEAST ASIA,Malaysia,Free Access Attractions and Sites | Singapore River,%,12.0
2025,SOUTHEAST ASIA,Malaysia,Free Access Attractions and Sites | Singapore Botanic Gardens,%,3.0
2025,SOUTHEAST ASIA,Malaysia,Free Access Attractions and Sites | Raffles Hotel,%,4.0
2025,SOUTHEAST ASIA,Philippines,Major Attractions and Sites | Integrated Resort (MBS/RWS),%,58.0
2025,SOUTHEAST ASIA,Philippines,Major Attractions and Sites | Gardens by the Bay,%,58.0
2025,SOUTHEAST ASIA,Philippines,Major Attractions and Sites | Sentosa,%,25.0
2025,SOUTHEAST ASIA,Philippines,Major Attractions and Sites | Singapore Flyer/ Flight Experience,%,11.0
2025,SOUTHEAST ASIA,Philippines,Major Attractions and Sites | Singapore Zoo,%,5.0
2025,SOUTHEAST ASIA,Philippines,Major Attractions and Sites | Night Safari,%,2.0
2025,SOUTHEAST ASIA,Philippines,Major Attractions and Sites | River Wonders (formerly River Safari),%,2.0
2025,SOUTHEAST ASIA,Philippines,Major Attractions and Sites | Bird Paradise (formerly Jurong Bird Park),%,2.0
2025,SOUTHEAST ASIA,Philippines,Major Attractions and Sites | National Orchid Gardens,%,5.0
2025,SOUTHEAST ASIA,Philippines,Free Access Attractions and Sites | Orchard Road,%,45.0
