series,level,date,value
"Sightseeing, Entertainment & Gaming",group,2014Q4,5823
"Sightseeing, Entertainment & Gaming",group,2015Q1,1372
"Sightseeing, Entertainment & Gaming",group,2015Q2,2594
"Sightseeing, Entertainment & Gaming",group,2015Q3,3935
"Sightseeing, Entertainment & Gaming",group,2015Q4,5093
"Sightseeing, Entertainment & Gaming",group,2016Q1,1199
"Sightseeing, Entertainment & Gaming",group,2016Q2,2573
"Sightseeing, Entertainment & Gaming",group,2016Q3,3981
"Sightseeing, Entertainment & Gaming",group,2016Q4,5348
"Sightseeing, Entertainment & Gaming",group,2017Q1,1414
"Sightseeing, Entertainment & Gaming",group,2017Q2,2897
"Sightseeing, Entertainment & Gaming",group,2017Q3,4224
"Sightseeing, Entertainment & Gaming",group,2017Q4,5618
"Sightseeing, Entertainment & Gaming",group,2018Q1,1498
"Sightseeing, Entertainment & Gaming",group,2018Q2,2952
"Sightseeing, Entertainment & Gaming",group,2018Q3,4472
"Sightseeing, Entertainment & Gaming",group,2018Q4,5859
"Sightseeing, Entertainment & Gaming",group,2019Q1,1457
"Sightseeing, Entertainment & Gaming",group,2019Q2,2899
"Sightseeing, Entertainment & Gaming",group,2019Q3,4404
"Sightseeing, Entertainment & Gaming",group,2019Q4,5997
"Sightseeing, Entertainment & Gaming",group,2020Q1,858
"Sightseeing, Entertainment & Gaming",group,2020Q2,863
"Sightseeing, Entertainment & Gaming",group,2020Q3,909
"Sightseeing, Entertainment & Gaming",group,2020Q4,951
"Sightseeing, Entertainment & Gaming",group,2021Q1,62
"Sightseeing, Entertainment & Gaming",group,2021Q2,113
"Sightseeing, Entertainment & Gaming",group,2021Q3,132
"Sightseeing, Entertainment & Gaming",group,2021Q4,223
"Sightseeing, Entertainment & Gaming",group,2022Q1,162
"Sightseeing, Entertainment & Gaming",group,2022Q2,752
"Sightseeing, Entertainment & Gaming",group,2022Q3,1568
"Sightseeing, Entertainment & Gaming",group,2022Q4,2337
"Sightseeing, Entertainment & Gaming",group,2023Q1,1007
"Sightseeing, Entertainment & Gaming",group,2023Q2,2121
"Sightseeing, Entertainment & Gaming",group,2023Q3,3691
"Sightseeing, Entertainment & Gaming",group,2023Q4,5064
"Sightseeing, Entertainment & Gaming",group,2024Q1,1937
"Sightseeing, Entertainment & Gaming",group,2024Q2,3330
"Sightseeing, Entertainment & Gaming",group,2024Q3,4613
"Sightseeing, Entertainment & Gaming",group,2024Q4,6069
"Sightseeing, Entertainment & Gaming",group,2025Q1,1622
"Sightseeing, Entertainment & Gaming",group,2025Q2,3496
"Sightseeing, Entertainment & Gaming",group,2025Q3,5317
"Sightseeing, Entertainment & Gaming",group,2025Q4,7349
"Sightseeing, Entertainment & Gaming",group,2026Q1,1992
Tourism Receipts,total,2008Q1,3857
Tourism Receipts,total,2008Q2,7636
Tourism Receipts,total,2008Q3,11692
Tourism Receipts,total,2008Q4,15475
Tourism Receipts,total,2009Q1,3154
Tourism Receipts,total,2009Q2,6090
Tourism Receipts,total,2009Q3,9292
Tourism Receipts,total,2009Q4,12642
Tourism Receipts,total,2010Q1,3603
Tourism Receipts,total,2010Q2,8077
Tourism Receipts,total,2010Q3,13203
Tourism Receipts,total,2010Q4,18341
Tourism Receipts,total,2011Q1,5370
Tourism Receipts,total,2011Q2,10713
Tourism Receipts,total,2011Q3,16676
Tourism Receipts,total,2011Q4,22277
Tourism Receipts,total,2012Q1,6023
Tourism Receipts,total,2012Q2,11521
Tourism Receipts,total,2012Q3,17106
Tourism Receipts,total,2012Q4,23081
Tourism Receipts,total,2013Q1,5763
Tourism Receipts,total,2013Q2,11523
Tourism Receipts,total,2013Q3,17789
Tourism Receipts,total,2013Q4,23469
