year,region,residence,metric,unit,value
2015,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,40.0
2015,TOTAL,TOTAL,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,13.0
2015,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,11.0
2015,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,8.0
2015,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,7.0
2015,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,9.0
2015,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,6.0
2015,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Others,%,6.0
2014,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,43.0
2014,TOTAL,TOTAL,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,19.0
2014,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,39.0
2014,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,27.0
2014,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,2.0
2014,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,8.0
2014,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,3.0
2014,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Others,%,13.0
2014,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,44.0
2014,TOTAL,TOTAL,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,11.0
2014,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,7.0
2014,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,9.0
2014,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,8.0
2014,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,9.0
2014,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,7.0
2014,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Others,%,5.0
2013,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,48.0
2013,TOTAL,TOTAL,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,20.0
2013,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,43.0
2013,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,25.0
2013,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,2.0
2013,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,15.0
2013,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,2.0
2013,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Others,%,17.0
2013,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,42.0
2013,TOTAL,TOTAL,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,9.0
2013,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,7.0
2013,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,6.0
2013,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,7.0
2013,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,10.0
2013,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,15.0
2013,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Others,%,5.0
2012,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,52.0
2012,TOTAL,TOTAL,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,22.0
2012,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,38.0
