series,level,date,value
25-34 Years,group,2015-07,305004
25-34 Years,group,2015-08,315165
25-34 Years,group,2015-09,295176
25-34 Years,group,2015-10,303947
25-34 Years,group,2015-11,282137
25-34 Years,group,2015-12,296466
25-34 Years,group,2016-01,293333
25-34 Years,group,2016-02,286860
25-34 Years,group,2016-03,303432
25-34 Years,group,2016-04,308215
25-34 Years,group,2016-05,309987
25-34 Years,group,2016-06,276013
25-34 Years,group,2016-07,317890
25-34 Years,group,2016-08,312629
25-34 Years,group,2016-09,293739
25-34 Years,group,2016-10,292624
25-34 Years,group,2016-11,285919
25-34 Years,group,2016-12,313234
25-34 Years,group,2017-01,297053
25-34 Years,group,2017-02,288751
25-34 Years,group,2017-03,324707
25-34 Years,group,2017-04,330739
25-34 Years,group,2017-05,310651
25-34 Years,group,2017-06,288603
25-34 Years,group,2017-07,319087
25-34 Years,group,2017-08,328969
25-34 Years,group,2017-09,329626
25-34 Years,group,2017-10,328261
25-34 Years,group,2017-11,316267
25-34 Years,group,2017-12,319346
25-34 Years,group,2018-01,317626
25-34 Years,group,2018-02,306641
25-34 Years,group,2018-03,338232
25-34 Years,group,2018-04,338474
25-34 Years,group,2018-05,326377
25-34 Years,group,2018-06,321577
25-34 Years,group,2018-07,339958
25-34 Years,group,2018-08,353258
25-34 Years,group,2018-09,361136
25-34 Years,group,2018-10,341227
25-34 Years,group,2018-11,321490
25-34 Years,group,2018-12,322781
25-34 Years,group,2019-01,319405
25-34 Years,group,2019-02,312335
25-34 Years,group,2019-03,330417
25-34 Years,group,2019-04,346576
25-34 Years,group,2019-05,326172
25-34 Years,group,2019-06,325457
25-34 Years,group,2019-07,352274
25-34 Years,group,2019-08,364099
25-34 Years,group,2019-09,367724
25-34 Years,group,2019-10,350584
25-34 Years,group,2019-11,348981
25-34 Years,group,2019-12,345625
25-34 Years,group,2020-01,331431
25-34 Years,group,2020-02,174489
25-34 Years,group,2020-03,64271
25-34 Years,group,2020-04,157
25-34 Years,group,2020-05,172
25-34 Years,group,2020-06,514
25-34 Years,group,2020-07,1643
25-34 Years,group,2020-08,2325
25-34 Years,group,2020-09,2897
25-34 Years,group,2020-10,4452
25-34 Years,group,2020-11,4656
25-34 Years,group,2020-12,7739
25-34 Years,group,2021-01,8172
25-34 Years,group,2021-02,6698
25-34 Years,group,2021-03,9570
25-34 Years,group,2021-04,9229
25-34 Years,group,2021-05,4473
25-34 Years,group,2021-06,2722
25-34 Years,group,2021-07,4077
25-34 Years,group,2021-08,3950
25-34 Years,group,2021-09,5273
25-34 Years,group,2021-10,7960
25-34 Years,group,2021-11,14363
25-34 Years,group,2021-12,30989
25-34 Years,group,2022-01,19112
25-34 Years,group,2022-02,20650
25-34 Years,group,2022-03,36225
25-34 Years,group,2022-04,77804
25-34 Years,group,2022-05,108939
25-34 Years,group,2022-06,128450
25-34 Years,group,2022-07,169853
25-34 Years,group,2022-08,187932
25-34 Years,group,2022-09,215319
25-34 Years,group,2022-10,212843
25-34 Years,group,2022-11,210690
25-34 Years,group,2022-12,200412
25-34 Years,group,2023-01,200425
25-34 Years,group,2023-02,221643
25-34 Years,group,2023-03,232638
25-34 Years,group,2023-04,244148
25-34 Years,group,2023-05,265087
25-34 Years,group,2023-06,238080
25-34 Years,group,2023-07,260823
25-34 Years,group,2023-08,270916
25-34 Years,group,2023-09,287268
25-34 Years,group,2023-10,264989
25-34 Years,group,2023-11,248014
25-34 Years,group,2023-12,245362
25-34 Years,group,2024-01,301596
25-34 Years,group,2024-02,293278
25-34 Years,group,2024-03,362693
25-34 Years,group,2024-04,295216
25-34 Years,group,2024-05,292157
25-34 Years,group,2024-06,257149
25-34 Years,group,2024-07,279850
25-34 Years,group,2024-08,304828
25-34 Years,group,2024-09,324621
25-34 Years,group,2024-10,308984
25-34 Years,group,2024-11,283083
25-34 Years,group,2024-12,277042
25-34 Years,group,2025-01,308441
25-34 Years,group,2025-02,280764
25-34 Years,group,2025-03,269926
25-34 Years,group,2025-04,305059
25-34 Years,group,2025-05,345631
25-34 Years,group,2025-06,255018
25-34 Years,group,2025-07,302881
25-34 Years,group,2025-08,313705
25-34 Years,group,2025-09,309670
25-34 Years,group,2025-10,322069
25-34 Years,group,2025-11,299941
25-34 Years,group,2025-12,259845
25-34 Years,group,2026-01,286911
25-34 Years,group,2026-02,285375
25-34 Years,group,2026-03,292971
25-34 Years,group,2026-04,286003
25-34 Years,group,2026-05,287827
25-34 Years,group,2026-06,242814
35-44 Years,group,2008-01,197797
35-44 Years,group,2008-02,181599
35-44 Years,group,2008-03,199868
35-44 Years,group,2008-04,192085
35-44 Years,group,2008-05,192780
35-44 Years,group,2008-06,185065
35-44 Years,group,2008-07,201967
35-44 Years,group,2008-08,192567
