series,level,freq,date,value
11-14 Days (Number),group,monthly,2015-09,14972.0
11-14 Days (Number),group,monthly,2015-10,17415.0
11-14 Days (Number),group,monthly,2015-11,15850.0
11-14 Days (Number),group,monthly,2015-12,18342.0
11-14 Days (Number),group,monthly,2016-01,27490.0
11-14 Days (Number),group,monthly,2016-02,19992.0
11-14 Days (Number),group,monthly,2016-03,16816.0
11-14 Days (Number),group,monthly,2016-04,19319.0
11-14 Days (Number),group,monthly,2016-05,17927.0
11-14 Days (Number),group,monthly,2016-06,18107.0
11-14 Days (Number),group,monthly,2016-07,24509.0
11-14 Days (Number),group,monthly,2016-08,21704.0
11-14 Days (Number),group,monthly,2016-09,15253.0
11-14 Days (Number),group,monthly,2016-10,16747.0
11-14 Days (Number),group,monthly,2016-11,15675.0
11-14 Days (Number),group,monthly,2016-12,18884.0
11-14 Days (Number),group,monthly,2017-01,26157.0
11-14 Days (Number),group,monthly,2017-02,19386.0
11-14 Days (Number),group,monthly,2017-03,17127.0
11-14 Days (Number),group,monthly,2017-04,19251.0
11-14 Days (Number),group,monthly,2017-05,18227.0
11-14 Days (Number),group,monthly,2017-06,20060.0
11-14 Days (Number),group,monthly,2017-07,25195.0
11-14 Days (Number),group,monthly,2017-08,21405.0
11-14 Days (Number),group,monthly,2017-09,16711.0
11-14 Days (Number),group,monthly,2017-10,17241.0
11-14 Days (Number),group,monthly,2017-11,16269.0
11-14 Days (Number),group,monthly,2017-12,20836.0
11-14 Days (Number),group,monthly,2018-01,27102.0
11-14 Days (Number),group,monthly,2018-02,21216.0
11-14 Days (Number),group,monthly,2018-03,18974.0
11-14 Days (Number),group,monthly,2018-04,18777.0
11-14 Days (Number),group,monthly,2018-05,19214.0
11-14 Days (Number),group,monthly,2018-06,22314.0
11-14 Days (Number),group,monthly,2018-07,24656.0
11-14 Days (Number),group,monthly,2018-08,24080.0
11-14 Days (Number),group,monthly,2018-09,17490.0
11-14 Days (Number),group,monthly,2018-10,17449.0
