series,year,value
Night Safari,2017,1261.8
Night Safari,2016,1150.5
Night Safari,2015,1159.0
Night Safari,2014,1179.8
Night Safari,2013,1168.0
Night Safari,2012,1163.4
Night Safari,2011,1098.5
Night Safari,2010,1129.5
Night Safari,2009,1136.1
Night Safari,2008,1177.4
Night Safari,2007,1132.9
Night Safari,2006,1007.1
Night Safari,2005,1002.5
Night Safari,2004,858.7
Night Safari,2003,610.2
Night Safari,2002,873.6
Night Safari,2001,839.1
Night Safari,2000,
Night Safari,1999,
Night Safari,1998,
Night Safari,1997,
River Wonders,1996,
River Wonders,1995,
River Wonders,1994,
River Wonders,1993,
River Wonders,1992,
River Wonders,1991,
River Wonders,1990,
River Wonders,1989,
River Wonders,1988,
River Wonders,1987,
River Wonders,1986,
River Wonders,1985,
River Wonders,1984,
River Wonders,2024,954.5
River Wonders,2023,896.2
River Wonders,2022,752.9
River Wonders,2021,589.8
River Wonders,2020,508.0
River Wonders,2019,961.8
River Wonders,2018,958.3
River Wonders,2017,952.5
River Wonders,2016,842.9
River Wonders,2015,843.1
River Wonders,2014,1144.6
River Wonders,2013,703.2
River Wonders,2012,
River Wonders,2011,
River Wonders,2010,
River Wonders,2009,
River Wonders,2008,
River Wonders,2007,
River Wonders,2006,
River Wonders,2005,
River Wonders,2004,
River Wonders,2003,
River Wonders,2002,
River Wonders,2001,
River Wonders,2000,
River Wonders,1999,
River Wonders,1998,
River Wonders,1997,
Singapore Zoological Gardens,1996,1509.0
Singapore Zoological Gardens,1995,1438.5
Singapore Zoological Gardens,1994,1433.6
Singapore Zoological Gardens,1993,1486.7
Singapore Zoological Gardens,1992,1355.3
Singapore Zoological Gardens,1991,1164.5
Singapore Zoological Gardens,1990,1341.3
Singapore Zoological Gardens,1989,1133.0
Singapore Zoological Gardens,1988,1104.3
Singapore Zoological Gardens,1987,1112.1
Singapore Zoological Gardens,1986,958.8
Singapore Zoological Gardens,1985,850.0
Singapore Zoological Gardens,1984,896.1
Singapore Zoological Gardens,2024,1465.7
Singapore Zoological Gardens,2023,1384.7
Singapore Zoological Gardens,2022,1102.3
Singapore Zoological Gardens,2021,930.0
Singapore Zoological Gardens,2020,883.1
Singapore Zoological Gardens,2019,2067.6
Singapore Zoological Gardens,2018,2109.1
Singapore Zoological Gardens,2017,1891.8
Singapore Zoological Gardens,2016,1797.0
Singapore Zoological Gardens,2015,1833.4
Singapore Zoological Gardens,2014,1678.2
Singapore Zoological Gardens,2013,1804.1
Singapore Zoological Gardens,2012,1756.4
Singapore Zoological Gardens,2011,1670.1
Singapore Zoological Gardens,2010,1630.5
Singapore Zoological Gardens,2009,1663.6
Singapore Zoological Gardens,2008,1589.6
Singapore Zoological Gardens,2007,1442.7
Singapore Zoological Gardens,2006,1405.1
Singapore Zoological Gardens,2005,1283.2
Singapore Zoological Gardens,2004,1148.4
Singapore Zoological Gardens,2003,1062.6
Singapore Zoological Gardens,2002,1291.8
Singapore Zoological Gardens,2001,1428.5
Singapore Zoological Gardens,2000,1323.3
Singapore Zoological Gardens,1999,1386.3
Singapore Zoological Gardens,1998,1319.4
Singapore Zoological Gardens,1997,1410.6
Jurong Lake Gardens,1996,251.6
Jurong Lake Gardens,1995,243.0
Jurong Lake Gardens,1994,286.0
Jurong Lake Gardens,1993,286.6
Jurong Lake Gardens,1992,350.9
Jurong Lake Gardens,1991,395.5
Jurong Lake Gardens,1990,453.0
Jurong Lake Gardens,1989,512.7
Jurong Lake Gardens,1988,629.5
Jurong Lake Gardens,1987,712.8
Jurong Lake Gardens,1986,616.8
Jurong Lake Gardens,1985,642.1
Jurong Lake Gardens,1984,721.2
Jurong Lake Gardens,2024,2910.7
Jurong Lake Gardens,2023,0.0
Jurong Lake Gardens,2022,0.0
Jurong Lake Gardens,2021,0.0
Jurong Lake Gardens,2020,0.0
Jurong Lake Gardens,2019,409.0
Jurong Lake Gardens,2018,659.2
Jurong Lake Gardens,2017,925.0
Jurong Lake Gardens,2016,1314.4
Jurong Lake Gardens,2015,939.5
Jurong Lake Gardens,2014,951.0
Jurong Lake Gardens,2013,693.1
Jurong Lake Gardens,2012,911.0
